SEU239+2,9.193192830000044,8.53781397200055
SET587+3,0.017854334000730887,0.012938888000462612
NUM488+3,inf,inf
CSR259+1,inf,inf
GEO338+1,inf,inf
SWV099+1,inf,inf
SEU328+2,inf,inf
SWW385+1,inf,inf
LCL643+1.010,inf,inf
SWV150+1,0.011416052999265958,0.01149059399995167
SEU414+2,inf,inf
SWW300+1,0.6169631020002271,0.5509671269992396
CSR244+1,inf,inf
NUM456+6,0.03177428599974519,0.02068275499914307
CSR161+1,inf,inf
NLP151+1,0.008733579999898211,0.016645800999867788
CSR232+1,inf,inf
LAT314+4,inf,inf
GEO339+1,inf,inf
LAT369+3,inf,inf
CSR116+13,inf,inf
SWV096+1,inf,inf
CSR164+1,inf,inf
LAT309+2,inf,inf
CSR115+38,inf,inf
GEO330+1,inf,inf
ITP023+2,0.43682479900053295,0.304835216000356
LAT335+3,inf,inf
SWV081+1,0.025950416999876325,0.009509706999779155
KRS224+1,inf,inf
NUM442+6,inf,inf
SWW945+1,inf,inf
CSR081+5,inf,inf
TOP044+3,inf,inf
SWV165+1,0.09687262100032967,0.06133122500068566
NUM495+3,0.4560676080000121,0.4721743010004502
NUN063+2,inf,inf
SET647+3,inf,10.131944962000489
SWB074+1,0.05000514000039402,0.044827779999650375
CSR248+1,inf,inf
CAT036+2,inf,inf
SEU320+2,6.4693862719996105,inf
SET652+3,inf,inf
CSR257+1,inf,inf
RNG126+4,2.0455047570003444,3.2953303660005986
LAT371+3,inf,inf
TOP043+1,inf,inf
SEU310+2,inf,inf
LAT306+2,inf,inf
KRS219+1,inf,inf
LCL685+1.015,inf,inf
CSR093+5,inf,inf
NLP192+1,inf,inf
GRP639+4,inf,inf
LAT301+2,inf,inf
SCT170+3,inf,9.609196051999788
CSR104+6,inf,inf
LAT304+4,inf,inf
NUM548+3,0.009656929999437125,0.010305304000212345
SWW477+2,inf,inf
LAT325+1,inf,inf
SEU281+1,0.21194743099931657,0.2544000540001434
CSR300+1,inf,inf
NUM482+3,0.01813485899947409,0.010067791999972542
SET712+4,inf,inf
SEU333+2,inf,inf
SWB066+1,inf,inf
CSR166+1,inf,inf
SEU413+2,inf,inf
CSR107+2,inf,inf
KRS195+1,1.5808298829997511,1.4769141189999573
SWW355+1,inf,inf
SEU302+3,inf,inf
SEU176+2,inf,inf
LCL652+1.015,inf,inf
CSR269+1,inf,inf
GEO108+1,inf,inf
SWW335+1,inf,inf
NLP189+1,0.018797384000208694,0.015890853999735555
SCT152+1,inf,inf
SEU428+3,inf,inf
SWW184+1,inf,inf
SEU366+1,inf,inf
KRS255+1,0.700869402000535,0.7706643209994581
CSR116+42,inf,inf
SWW277+1,0.5528019760004099,0.5896773189997475
SWV133+1,0.06504472100004932,0.06523509299950092
SWW213+1,inf,inf
CSR115+20,inf,inf
SWV480+1,inf,inf
SEU394+1,0.033405111000320176,0.03318767100063269
LCL666+1.015,inf,inf
SYO799+1,inf,inf
SEU220+2,inf,inf
SEU437+2,inf,inf
SEU107+1,0.0599604779999936,0.03064834199994948
LAT368+1,inf,inf
CSR084+3,inf,inf
NUM621+3,0.14609140199991089,0.14458914699935121
NUM481+3,1.4751804070001526,1.3473617310000918
NLP168+1,inf,inf
NLP199+1,inf,inf
GRP645+3,inf,inf
LAT355+2,inf,inf
SWW374+1,inf,inf
NUM587+3,0.2452417399999831,0.23728794300041045
MED006+1,0.021271061999868834,0.020350150000012945
SEU278+2,inf,inf
NUM516+3,inf,inf
ALG232+4,inf,inf
SEU227+1,inf,inf
NUM854+1,0.05697376999978587,0.054819817999486986
SWW249+1,inf,inf
SWV212+1,0.00953577000018413,0.00961266899957991
NUM840+1,0.008244439000009152,0.007901813999524165
KRS160+1,0.005851435999829846,0.005653265000546526
SWB016+3,inf,inf
KRS256+1,0.6537555059994702,0.7324147780000203
SWW265+1,inf,inf
LCL679+1.010,inf,inf
LCL681+1.005,inf,inf
SWB016+1,inf,inf
NUN067+1,0.006997129999945173,0.007032381000499299
LAT336+1,inf,inf
SEU282+1,inf,inf
KRS177+1,inf,inf
ITP007+1,inf,inf
SWV139+1,0.07753787599995121,0.04513016399960179
SCT145+1,inf,inf
CSR183+1,inf,inf
GEO100+1,inf,inf
SEU255+1,0.013556019999668933,0.012275246000172046
GRP623+4,inf,inf
LCL666+1.005,0.08293451099962112,0.04511944400019274
SWV131+1,0.008948401999987254,0.009112214000197127
SEU377+2,inf,inf
CSR212+1,inf,inf
SWB051+1,inf,inf
CAT031+2,inf,inf
LCL676+1.020,inf,inf
LCL655+1.015,inf,inf
LCL682+1.005,inf,inf
SEU350+2,inf,inf
CSR113+16,inf,inf
NUM585+3,inf,inf
TOP046+2,inf,inf
GEO109+1,inf,inf
LAT331+2,inf,inf
CSR113+9,7.885219363000033,7.926336792999791
ALG215+4,inf,inf
CSR114+9,inf,inf
SWW471+2,inf,inf
GEO472+1,inf,inf
CSR172+1,inf,inf
CSR083+6,inf,inf
CSR101+6,inf,inf
GEO482+1,inf,inf
GEO450+1,inf,inf
PRO009+2,3.3866940480002086,1.0460706189996927
SEU422+2,inf,inf
LAT368+4,inf,inf
SEU238+1,0.08576073699987319,0.08299127599912026
SEU427+2,inf,inf
CSR103+1,0.310749450000003,0.318480300000374
GEO102+1,inf,inf
SWW271+1,0.5471580630000972,0.5390939499993692
KRS265+1,0.5843735940006809,0.759903893000228
SEU449+3,inf,inf
SEU193+2,inf,inf
SEU060+1,inf,inf
ITP019+5,inf,inf
CSR082+6,inf,inf
LAT379+1,0.6446789470001022,0.3847891929999605
SWW889+1,inf,inf
TOP030+3,inf,inf
SEU433+3,inf,inf
KRS266+1,0.6869000260003304,0.7852283840002201
ALG218+3,inf,inf
CSR249+1,inf,inf
SWW282+1,inf,inf
GEO462+1,inf,inf
GEO299+1,0.042311901999710244,0.04025731999990967
LAT376+4,inf,inf
NUM619+3,inf,inf
LAT373+3,inf,inf
KRS121+1,0.011539070999788237,0.009818608999921707
LAT336+4,inf,inf
CSR298+1,inf,inf
SET746+4,inf,inf
GRP650+4,inf,inf
SCT129+1,inf,inf
LAT339+4,inf,inf
LCL645+1.005,0.06932176900045306,0.06481600900042395
SWW354+1,inf,inf
KRS112+1,0.024364574999708566,0.008249024000178906
SEU432+3,inf,inf
SWV180+1,0.025346974000058253,0.02010052000059659
CSR197+1,inf,inf
MED008+1,0.032349254000109795,0.03080002400020021
SWW319+1,inf,inf
CSR113+19,0.7925481760003095,0.8585596679995433
SWV098+1,inf,inf
CSR115+78,0.2126309119994403,0.20575810599984834
SEU443+2,inf,inf
KRS190+1,1.6279251910000312,1.2673628189995725
LAT322+3,inf,inf
SEU275+2,1.0245147590003398,1.0598668479997286
SET660+3,9.167012654000246,1.8661163369997666
CSR255+1,inf,inf
SWV058+1,0.010594229000162159,0.010601633999613114
LAT363+2,inf,inf
LAT351+1,inf,inf
SEU438+3,inf,inf
SEU419+4,inf,inf
SEU299+1,inf,3.0189474320004592
RNG087+1,0.1543926799995461,0.18535740799961786
SWW478+6,3.65069730399955,3.748360725000566
GEO151+1,inf,inf
SWV072+1,0.00971648799986724,0.009788287999981549
SET713+4,inf,inf
KRS251+1,inf,inf
CSR113+10,inf,inf
SWV217+1,0.0111221260003731,0.010366534999775467
RNG092+1,0.2569508690003204,0.24496361299952696
SEU228+3,inf,inf
SET667+3,2.5328288889995747,2.361104188000354
SYN723+1,0.011001939999914612,0.008671376999700442
NUM501+3,inf,inf
NLP044+1,0.012422734000210767,0.01211042999966594
SEU436+2,inf,inf
CSR114+8,8.961352172999796,8.863268177999998
SEU226+3,2.1108017560000008,2.404868188999899
SEU395+1,0.23766111100030685,0.2202374360003887
SEU426+2,inf,inf
SWW260+1,inf,inf
LAT295+1,0.06201437699928647,0.06242496300001221
LCL646+1.010,inf,inf
COM020+4,0.054040154999711376,0.05367601499983721
SEU276+2,inf,inf
SEU312+2,inf,inf
SEU425+3,inf,inf
